smiles,pKi,Ki,protein_path
CN(C)c(cc1)ccc1NC(c1cc(-c2nccnc2)nc2ccccc12)=O,1.7977842241988684,15930.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(C)=O)c(cc(cc1)C#N)c1N1Cc2c(C)ccc3ccccc23)C1=O)=O)NC.Cl,1.7772835288524167,16700.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(C)=O)c(cc(cc1)C#N)c1N1Cc2c(C)ccc3ccccc23)C1=O)=O)NC,1.7695510786217261,17000.0,4wnv_meeko.pdb
C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1O)[C@@]2(C#C)O,1.744727494896694,18000.0,4wnv_meeko.pdb
Cc1cc(c(NS(c(ccc(Cl)c2)c2Cl)(=O)=O)c(cc2)Oc(ccc(CC(O)=O)c3)c3OC)c2[nH]1,1.744727494896694,18000.0,4wnv_meeko.pdb
Cc1cc(-c(nc2)cc(C(NCc(cc3)nc(OC)c3OC)=O)c2-c2nccs2)cnc1,1.712198270069774,19400.0,4wnv_meeko.pdb
Cc1c(-c(cc2)cnc2F)scc1,1.7077439286435239,19600.0,4wnv_meeko.pdb
CC(CCC(c1cocc1)=O)O,1.6989700043360187,20000.0,4wnv_meeko.pdb
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,1.6989700043360187,20000.0,4wnv_meeko.pdb
COc(cc1)ccc1NC(c1cc(-c2nccnc2)nc2ccccc12)=O,1.6968039425795112,20100.0,4wnv_meeko.pdb
C[C@@](CC[C@@H]([C@H]1CC2)[C@@](C)(CC3)[C@H]2C[C@H]3O)([C@H](CC2)C(C=C3)=COC3=O)[C@@]12O,1.679853713888946,20900.0,4wnv_meeko.pdb
Cc1csc(-c2cnccc2)n1,1.640164517660112,22900.0,4wnv_meeko.pdb
CC(C)(C)NC(C(CC1)(CCN1C([C@@H](Cc(cc1)ccc1Cl)NC([C@@H](CCc1c2cccc1)[C@@H]2N)=O)=O)C1CCCCC1)=O,1.6382721639824072,23000.0,4wnv_meeko.pdb
CC(C)([C@H]1C2)O[C@H](CC(OC3)=O)[C@]13[C@H](CC[C@](C)([C@@H](c1cocc1)O1)[C@@]34O[C@H]4C1=O)[C@]3(C)C2=O,1.6345120151091004,23200.0,4wnv_meeko.pdb
NCc1ccc(-c2cnccc2)o1,1.6270879970298935,23600.0,4wnv_meeko.pdb
CC[C@](C(C=C1N2Cc3c(CC)c4cc(OC(N(CC5)CCC5N5CCCCC5)=O)ccc4nc13)=C(CO1)C2=O)(C1=O)O,1.6197887582883939,24000.0,4wnv_meeko.pdb
